Stock,Average_Close,Highest_Close,Lowest_Close,Average_Volume,Average_Return,Volatility
ADANIPORTS,1287.4387180744238,1869.5,702.9700317382812,3826059.66756393,0.0015142687845419154,0.02142584481064854
ASIANPAINT,2686.0343186800765,3430.491943359375,2091.173583984375,1201728.9717362046,-0.0001459399846306072,0.013348574597592066
AXISBANK,1146.4609444824875,1403.0,931.5343017578124,8324936.799461642,0.0005522902894061347,0.014669020066071676
BAJAJ-AUTO,8216.027510672528,12181.87890625,4373.15673828125,434251.42261103634,0.0011990213480330763,0.015936314279783224
BAJFINANCE,810.2509721265667,1087.465087890625,620.3081665039062,10406691.68909825,0.0006146794099343157,0.016923846115786706
BHARTIARTL,1555.3077890388417,2162.699951171875,843.4097290039062,6698720.098250336,0.001119540671437682,0.013096934062024631
ETERNAL,222.3780754161234,354.3500061035156,73.25,54539510.92462988,0.0020526330670330374,0.024190805959931335
HCLTECH,1428.239415370279,1872.3455810546875,986.5740966796876,3059354.555854643,0.00015635747807592063,0.015837223926281993
HDFCBANK,832.115359731189,996.4197998046876,662.6377563476562,33524660.495289367,3.4945785582294994e-05,0.012507802217752719
HINDUNILVR,2363.1643974951107,2909.856689453125,2031.5361328125,1777670.2207267834,-0.00013629456943597588,0.012259437571100302
ICICIBANK,1218.077519823693,1477.2017822265625,893.9962768554688,13872029.69179004,0.0006260720519234144,0.011875118248233214
INDUSINDBK,1119.486228152207,1667.6055908203125,636.0198364257812,4875403.854643337,-0.0002686814849799532,0.02113394028621393
INFY,1475.6513654624148,1901.0830078125,985.2999877929688,8112932.4562584115,-8.041962714323481e-05,0.016280777952516444
KOTAKBANK,381.10945131448204,453.2374572753906,308.6454467773437,21814238.30282638,0.00020520792871440294,0.01386790344007099
LT,3488.1280621083233,4375.3642578125,2347.470703125,2229183.2409152086,0.0008535982687406943,0.016065804562244813
M&M,2664.307238161644,3762.310791015625,1410.398681640625,2902697.4468371468,0.0012301362805974398,0.018319429589938124
MARUTI,12400.508388185564,17292.0,9135.5498046875,483975.89905787347,0.0006658205824704227,0.013938236092939335
NESTLEIND,1207.1026953059281,1486.0999755859375,1052.5072021484375,1641832.2059219382,0.0004550603722627306,0.01218900807865355
NTPC,325.56166961793144,425.8398742675781,171.98179626464844,14063784.787348587,0.0010921854761413846,0.01628878535829042
POWERGRID,268.3904328789076,344.8432312011719,159.44578552246094,14986864.232839838,0.000876563616044147,0.016311899634388446
RELIANCE,1357.9463930604916,1584.9718017578125,1099.985107421875,13163798.492597578,0.0002111318765853909,0.013182909644153206
SBIN,788.4031782804876,1206.0606689453125,518.0506591796875,14551799.427994616,0.0009817652303129763,0.0153133031170808
SUNPHARMA,1582.0956460328955,1918.2103271484373,1004.0341186523438,2401951.7631224766,0.0009203956532825448,0.012242347549187642
TATASTEEL,151.806609039512,216.66183471679688,104.74279022216795,35823840.42664872,0.000915876840834792,0.017587465980892236
TCS,3306.5587616582898,4253.90625,1982.5999755859373,2740044.5033647376,-0.00041022552485692063,0.014160536606207072
TECHM,1370.1254829417007,1721.6650390625,993.8314819335938,2181397.3916554507,0.000596172324369471,0.016598192926363723
TITAN,3566.2554111814434,4525.89990234375,2883.955810546875,1039865.2516823688,0.0006105634431206379,0.014125287432206257
TRENT,4360.192034016708,8218.0546875,1661.82177734375,1075247.5464333782,0.0012126609067631695,0.025949343928188446
ULTRACEMCO,10838.480485836559,13052.0,7956.38427734375,319536.6944818304,0.0005408975296102551,0.014282079181382284
